game_name,review_text
Pizza Tower,"Reception

Pizza Tower received ""generally favorable reviews"", according to the review aggregate website Metacritic, and became one of the highest rated games of 2023 on Steam within a day of its release. Critics were surprised by Pizza Tower quality and considered it a worthy substitute for Wario Land, some calling it a rare spiritual successor that is better than its inspiration. Polygon said Pizza Tower ""has sharpened, tuned, evolved, and damn near perfected [Wario Land] odd niche of platforming"", and PC Gamer found it difficult to expect a potential Wario Land revival to be as invigorating and inventive. MeriStation said Pizza Tower was ""an instant classic"" and a breath of fresh air in the side-scrolling indie scene, which they felt was lacking creativity.

Reviewers favorably compared the visuals to 1990s Nicktoons like The Ren & Stimpy Show, Cartoon Network shows, and Microsoft Paint art. IGN said the intentionally cheap-looking art style lent Pizza Tower a striking, idiosyncratic appearance, and Multiplayer.it said the levels were so detailed that players would continue to find new animations for hours. The animation quality was also commended, as was the humor. IGN enjoyed Pizza Tower use of the cartoon trope in which characters are depicted in a different style for comedic effect, and alongside PC Gamer and Rock Paper Shotgun, praised the expressiveness of Peppino. PC Gamer said Peppino's animations made him feel like a fleshed-out character despite never speaking.

The soundtrack was acclaimed for its intensity. MeriStation said it complimented the visuals, Multiplayer.it wrote it combined funk with metal while remaining true to the style of 1990s platform games, and PC Gamer likened its ""clever"" blend of a retro style and samples to Jet Set Radio (2000). IGN said the soundtrack did an excellent job conveying the distinct atmosphere of each level. IGN and PC Gamer considered ""It's Pizza Time!"" a particular highlight. Beyond the soundtrack, Multiplayer.it praised the sound design, describing the sound effects as instantly iconic.

Critics commended Pizza Tower gameplay. They enjoyed each level's distinct theme and mechanics as well as the secrets scattered throughout, and compared the sense of speed to the Sonic the Hedgehog series. Reviewers felt it improved and expanded on the Wario Land formula, with Den of Geek calling it ""faster, crazier, [and] sillier"". Polygon and IGN highlighted the escape sequences, Multiplayer.it said the power-ups surpassed Wario Land in terms of surrealness and fun, and PC Gamer said the final boss's spectacle rivaled that of the Bayonetta series. IGN said that while Pizza Tower would only take five to six hours to finish, the secrets and ranking system provided substantial replay value, and MeriStation said replaying levels to obtain P ranks was where the gameplay was at its best. Polygon thought allowing the player to choose what they liked to achieve instead of featuring traditional difficulty levels was an ""elegant-ass approach to game difficulty"".

IGN, MeriStation, PC Gamer, and Polygon found controlling Peppino satisfying, PC Gamer likening his moveset to a Swiss Army knife for its versatility. Polygon described Peppino's abilities as limited but intuitive and excellently complementing the level design. Conversely, Multiplayer.it and Rock Paper Shotgun felt it was challenging to become accustomed to controlling Peppino since he requires considerable precision, which Rock Paper Shotgun said was Pizza Tower biggest flaw. While its levels were still designed in Wario Land slow and methodical fashion, Rock Paper Shotgun wrote, Pizza Tower expects the player to move fast, leading to the repeated frustration of losing momentum. They said this meant the game would not be for everyone, though some would consider the ""rough edges... an essential part of the appeal""."
Planet of Lana,"Reception

Planet of Lana received ""generally favourable"" reviews, according to review aggregator Metacritic.

Writing for GamesRadar+, Heather Wald described the game as ""a beautiful adventure full of mystery, suspense, and charm"". She praised the game's story and enjoyed the variety of the puzzles featured in the game, though she remarked that the controls for Mui are unrefined at times. Ravi Sinha from GamingBolt praised the game's presentation and the game's handpainted visual style, calling it ""gorgeous"". He compared the game favourably to Inside, as the game was ""tautly paced with well-executed puzzles but also carried by an undercurrent of mystery"". Rachel Watts from Rock, Paper, Shotgun described the story as an ""epic odyssey"", ""one that recalls the scope and drama of Lord Of The Rings, but in a setting that feels closer to Star Wars"". Despite her praise for the game, in particularly its opening and final act, she wrote that the middle act was ""mediocre"".

Marcus Stewart from Game Informer strongly praised the game's visuals and music, calling it one of the best in the year, though he was disappointed by the game's puzzles design for not offering new challenges despite player's progression. Jordan Helms from Hardcore Gamer, while impressed by the game's visuals and music, wrote that the game was ""far from the most inventive or unique take on the puzzle-platformer formula""."
Like a Dragon: Ishin!,"Reception

Like a Dragon: Ishin! received ""generally favorable"" reviews, according to review aggregator Metacritic.

Eurogamer liked the game's side stories but felt it retained much of its early eighth-gen DNA, ""Despite being rebuilt from the ground up in Unreal Engine 4, it feels as though the team has stuck with the same building plans as the original, where loading screens separate interiors and neighbouring locations, while NPCs retain the awkward, late-PS3 marionette look and movements"". Polygon praised the game's depiction of 19th century Kyoto, writing, ""The environments are gorgeously rendered, with unpaved roads punctuated by maple trees and streams that run through the city"".

Sales

Like a Dragon: Ishin! sold 35,897 physical copies on PlayStation 4, and 31,439 physical copies on PlayStation 5, resulting in a total of 67,336 physical copies sold within its first 5 days of release in Japan. Both versions remained in the top 30 by their fourth week of release, selling a cumulative total of 85,725 physical copies."
Season: A Letter to the Future,"Reception

Season: A Letter to the Future received ""generally positive"" reviews on Metacritic.

In Rock Paper Shotguns review of the game, Rachel Watts praised the storytelling, writing ""The way its story unfolds feels highly engrossing, like watching a photograph slowly develop until you have a complete picture of this curious, beautiful place."" Writing for The Verge, Andrew Webster said, ""I felt just like the main character: venturing out into the great unknown, constantly surprised and amazed by what I found."" Vikki Blake of Eurogamer praised the atmosphere and scrapbooking mechanics, but criticized the bike controls and the inability to create multiple save files.

The game's art direction was also the subject of praise. Watts described the world as ""bloody gorgeous"", while Vice wrote that the setting was ""as dense and beautiful as it is fleeting"" and the world design ""makes the act of photographing the dying valley a melancholy joy.""

The Guardian liked the biking mechanics and the camera, but criticized the world the protagonist explored, saying the world ""feels less like a real place and more like an amalgam of cultural influences scrubbed of their real-world significance"". GameSpot praised how much of the story and content was optional, giving the player freedom to decide what was meaningful to them, ""It also acts like an insightful mirror, reflecting back onto the player not just what they experienced, but how they interpreted it"".

Sales

By June 2023, Season: A Letter to the Future had sold 60,000 units, which was deemed a commercial failure for Scavengers Studio. This resulted in layoffs at the developer, leaving only 16 employees left."
Sherlock Holmes: The Awakened (2023 video game),"Reception

The game received ""generally favorable"" reviews for the PlayStation 5 version, and ""mixed or average"" reviews for the PC and Xbox Series X versions.

PC Gamer called the game ""cleverly designed, atmospheric, and polished"" but criticized the short length and the DLC policy where all the side quests have to be bought separately. Rock Paper Shotgun recommended the game to fans of the series only. NME liked the removal of combat from the game but disliked the puzzle design in other world sections. CGMagazine called the game ""a solid entry to the franchise"". Pocket Tactics liked the game but didn't recommend playing it on the Switch due to performance issues."
Slayers X: Terminal Aftermath: Vengance of the Slayer,"Reception

Slayers X has received generally positive reception, with the PC version of the game receiving generally favorable reviews according to Metacritic. Before the game released,  Rock Paper Shotgun Liam Richardson was optimistic about it, saying the demo was ""exactly what I hoped it would be."" PC Gamer writer Rich Stanton felt that despite there being a fair number of retro-style FPS games and finding the humor ""love it or hate it,"" he nevertheless found it ""kinda charming.""

Upon release, Richardson praised it as an accurate depiction of what teens found cool back in the 2000s, and praised it for feeling so similar to the build engine despite not using it. He also regarded it as one of his favorite indie games of 2023. TechRadar writer Jordan Forward-Lamb felt that, despite difficulty spikes and ""frustratingly old-school FPS design,"" he appreciated how creative it is and how it replicates the ""90s setting."" Destructoid writer Zoey Handley felt that the game was lacking in a lot of ways, including being too short, having too few enemies and weapons, and having bad flow, though she noted that some of the game's flaws may be deliberately done. Despite this, she found the game enjoyable due to its ""fascinating character exploration of its fictional designer Zane, particularly how much of himself he puts into the game. DualShockers writer Robert Zak noted that the protagonist was like a ""younger less studly brother of fellow 90s quipper Duke Nukem,"" though finding some of his dialogue ""grating."" Despite issues with the game, he found the repetitive gameplay and ""ever-intoxicating nostalgia"" enjoyable."
Steer Madness,"Reception
Some scholars described it as an example of ""an activism game"" and said it aligns with ""mass-market entertainment game genres.""
Others recommended it to ""animal conscious parents"" and said it encourages veganism."
Stranded: Alien Dawn,"Reception

The game received ""generally positive reviews"" upon release, according to review aggregator Metacritic. Kim Armstrong from Rock, Paper, Shotgun compared the game to RimWorld, and described the experience as ""incredibly refreshing"". Christopher Livingston from PC Gamer, meanwhile, described the game as a ""a survival colony builder that generates stories of triumph, disaster, and white-knuckle rescues""."
Street Fighter 6,"Reception

Street Fighter 6 received ""universal acclaim"", according to review aggregator Metacritic.

The Guardian praised Street Fighter 6's netcode, writing: ""the online component actually works, and works well, right out of the gate"". PCMag liked the character creator, feeling it had a vast number of options: ""there are a ridiculous number of body, eye, hair, nose, and voice options for creating a goofy, imaginative, or realistic martial artist"". Game Informer wrote that the Drive System was a great addition, that it sets ""up a compelling risk/reward dynamic that tinges on every interaction"".

PCGamesN criticized the World Tour mode's storytelling as a disappointment, but noted that Capcom learned from its past mistakes and made the most ""feature-packed fighting game yet"", and that the expansive scope of SF6 will satisfy players with its abundant content without waiting for an Ultimate Edition to be released. Ars Technica enjoyed the accesibility options included: ""Blind and sight-impaired Street Fighter players will find a wealth of new options to help them play, like sounds that indicate distance to an opponent or if an attack hit high, mid, or low. It’s a really thoughtful touch, and I'm not aware of any other game doing something similar"".

Two days after launch, Capcom issued a statement after negative reviews of the game's reliance on DLC.

Sales
Street Fighter 6 had sold over one million units within five days of its release. By July 2023, the game had sold over two million units.

In Japan, the PlayStation 5 version of Street Fighter 6 was the third highest selling physical game during its first week of release, with 21,192 retail units being sold across the country. The PlayStation 4 version was the fourth highest selling physical game in Japan throughout the same week, selling 12,078 retail units."
The Mageseeker,"Reception
According to review aggregator Metacritic, the game received generally positive reviews upon release. "
Vengeful Guardian: Moonrider,"Reception

According to the review aggregator website Metacritic, Vengeful Guardian: Moonrider received ""generally favorable reviews"". Many critics compared the game to Mega Man X and the Shinobi series. Shacknews praised the music and graphics, although he noted its short length and many similarities to Mega Man X. Nintendo Life similarly enjoyed the combat, and described the 16-bit visuals as ""absolutely stunning"", but said that some levels featuring a 3D motorcycle were less appealing than the 2D sections. Push Square liked the variety in how levels were themed and found the difficulty to be well-designed, although the reviewer noted that the game may not interest players who did not like retro games."
Wild Hearts (video game),"Reception

Critical reception

Wild Hearts received ""generally favorable"" reviews, according to review aggregator Metacritic.

Rock Paper Shotgun enjoyed the title's building mechanics, saying it made the player feel ""less of a mythical superhero and more of a desperate inventor"", but criticized how poor performance was on Windows. Eurogamer praised the game's feudal Japan-inspired world, ""it's beautiful stuff – and even more impressive once rampaging Kemono start smashing it to bits"". The Verge liked the music and the scope of the fights, writing ""The sweeping orchestral score and the sheer size and power of the monsters make even the one-star hunts feel like an epic battle"". NPR praised the game's monster appearance and power design, saying ""stunning and enormous animals superpowered by primal nature"".

Sales

The PlayStation 5 version of Wild Hearts was the second bestselling retail game during its first week of release in Japan, with 26,905 physical copies being sold across the country."
Wo Long: Fallen Dynasty,"Reception

Wo Long: Fallen Dynasty received ""generally positive"" reviews, according to review aggregator Metacritic. 

Polygon enjoyed the morale system, writing that it was ""an inventive spin on the Soulslike formula, as it indicates how challenging a particular match will likely be from afar — without you having to die multiple, needless deaths by plunging headfirst into random encounters"". Rock Paper Shotgun liked how it made Nioh's overwhelmed complexity manageable, ""Wo Long untangles a lot of Nioh's woes, streamlining things to make the act of ticking off missions not only a joy, but a joy that doesn't threaten entire brain collapse"". Eurogamer praised the setting, but criticized the overgenerous loot system, seeing it as a ""leftover"" from Nioh. The PC port was criticized for its poor performance and broken mouse controls.

Sales

The PlayStation 5 version of Wo Long: Fallen Dynasty was the second bestselling retail game during its first week of release in Japan, with 30,132 physical copies being sold. The PlayStation 4 version was the sixteenth bestselling retail game in Japan throughout the same week, selling 17,699 physical copies.

The game sold over 1 million units by April 2023."
